Day,Combined Graduate Level Examination: (India),NDA Exam: (India),REET: (India),CSIR UGC NET: (India),UGC NET: (India)
2020-07-11,4.7087948547802565,3.929045092838196,3.4436030290952573,0.0,3.5306651690589845
2020-07-12,3.9553876780154154,4.125497347480105,2.1044240733359905,0.0,4.645612064551295
2020-07-13,3.9553876780154154,2.750331564986737,3.2522917497010764,0.0,4.08813861680514
2020-07-14,4.143739472206626,3.732592838196286,2.8696691909127146,0.0,4.08813861680514
2020-07-15,4.332091266397836,3.1432360742705567,2.1044240733359905,0.0,5.017261029715399
2020-07-16,4.520443060589046,3.3396883289124664,2.4870466321243527,0.0,4.08813861680514
2020-07-17,5.273850237353887,4.321949602122015,2.295735352730172,0.0,3.7164896516410364
2020-07-18,4.143739472206626,3.5361405835543764,2.6783579115185336,0.0,4.645612064551295
2020-07-19,4.143739472206626,3.929045092838196,1.9131127939418096,0.0,2.601542756148725
2020-07-20,3.9553876780154154,3.3396883289124664,1.5304902351534477,0.0,2.601542756148725
2020-07-21,4.143739472206626,2.946783819628647,2.1044240733359905,0.0,2.973191721312829
2020-07-22,4.143739472206626,3.3396883289124664,2.4870466321243527,0.0,2.4157182735666733
2020-07-23,4.520443060589046,3.732592838196286,1.7218015145476286,3.333333333333333,3.3448406864769327
2020-07-24,4.143739472206626,3.1432360742705567,2.8696691909127146,0.0,3.3448406864769327
2020-07-25,3.7670358838242053,3.5361405835543764,1.3391789557592668,0.0,2.973191721312829
2020-07-26,3.578684089632995,3.1432360742705567,2.6783579115185336,0.0,2.973191721312829
2020-07-27,4.520443060589046,3.3396883289124664,2.295735352730172,0.0,2.787367238730777
2020-07-28,3.7670358838242053,2.946783819628647,1.7218015145476286,0.0,4.831436547133347
2020-07-29,4.520443060589046,3.3396883289124664,1.5304902351534477,0.0,3.159016203894881
2020-07-30,3.201980501250574,4.125497347480105,2.295735352730172,0.0,5.388909994879502
2020-07-31,3.3903322954417847,3.3396883289124664,1.7218015145476286,0.0,3.902314134223088
2020-08-01,3.9553876780154154,3.3396883289124664,1.7218015145476286,0.0,3.3448406864769327
2020-08-02,3.013628707059364,3.1432360742705567,0.0,0.0,1.8582448258205182
2020-08-03,2.825276912868154,2.3574270557029173,1.5304902351534477,0.0,3.159016203894881
2020-08-04,4.143739472206626,3.3396883289124664,1.9131127939418096,0.0,3.3448406864769327
2020-08-05,3.578684089632995,3.5361405835543764,1.7218015145476286,0.0,4.831436547133347
2020-08-06,4.143739472206626,3.732592838196286,2.295735352730172,0.0,3.159016203894881
2020-08-07,3.201980501250574,3.5361405835543764,0.0,0.0,3.5306651690589845
2020-08-08,3.578684089632995,3.732592838196286,1.9131127939418096,0.0,3.902314134223088
2020-08-09,3.9553876780154154,2.946783819628647,2.8696691909127146,0.0,3.7164896516410364
2020-08-10,4.332091266397836,3.929045092838196,2.1044240733359905,0.0,3.7164896516410364
2020-08-11,3.9553876780154154,4.714854111405835,2.295735352730172,0.0,4.08813861680514
2020-08-12,4.143739472206626,4.125497347480105,1.7218015145476286,4.0,3.5306651690589845
2020-08-13,3.7670358838242053,5.500663129973474,1.147867676365086,0.0,4.831436547133347
2020-08-14,4.332091266397836,4.911306366047745,2.1044240733359905,0.0,3.7164896516410364
2020-08-15,3.7670358838242053,6.4829244031830235,1.9131127939418096,0.0,3.5306651690589845
2020-08-16,3.3903322954417847,5.893567639257294,2.4870466321243527,0.0,4.273963099387192
2020-08-17,5.838905619927518,4.125497347480105,2.6783579115185336,0.0,4.08813861680514
2020-08-18,4.143739472206626,5.107758620689655,1.9131127939418096,0.0,4.08813861680514
2020-08-19,3.3903322954417847,5.304210875331565,2.295735352730172,0.0,3.902314134223088
2020-08-20,3.9553876780154154,5.697115384615384,2.8696691909127146,0.0,2.973191721312829
2020-08-21,3.9553876780154154,4.321949602122015,1.147867676365086,0.0,6.13220792520771
2020-08-22,3.578684089632995,5.107758620689655,2.295735352730172,0.0,6.875505855535917
2020-08-23,3.7670358838242053,4.911306366047745,3.2522917497010764,0.0,5.574734477461554
2020-08-24,2.825276912868154,4.911306366047745,3.0609804703068955,0.0,6.318032407789762
2020-08-25,4.332091266397836,6.090019893899203,2.295735352730172,4.0,6.13220792520771
2020-08-26,3.3903322954417847,5.107758620689655,2.4870466321243527,0.0,6.318032407789762
2020-08-27,3.578684089632995,5.500663129973474,2.8696691909127146,0.0,6.318032407789762
2020-08-28,4.897146648971467,4.911306366047745,3.634914308489438,0.0,7.618803785864124
2020-08-29,3.013628707059364,5.107758620689655,1.9131127939418096,0.0,5.017261029715399
2020-08-30,3.578684089632995,6.4829244031830235,2.6783579115185336,0.0,4.645612064551295
2020-08-31,3.9553876780154154,6.679376657824933,2.295735352730172,0.0,4.831436547133347
2020-09-01,6.403961002501148,4.911306366047745,2.6783579115185336,0.0,7.432979303282073
2020-09-02,3.201980501250574,6.090019893899203,3.4436030290952573,0.0,7.804628268446176
2020-09-03,4.7087948547802565,9.036803713527851,2.6783579115185336,0.0,4.645612064551295
2020-09-04,3.201980501250574,8.44744694960212,2.295735352730172,0.0,6.5038568903718135
2020-09-05,3.013628707059364,11.001326259946948,3.2522917497010764,0.0,6.13220792520771
2020-09-06,3.013628707059364,7.661637931034482,3.4436030290952573,0.0,6.875505855535917
2020-09-07,3.578684089632995,7.465185676392572,4.591470705460344,6.0,8.919575163938486
2020-09-08,3.9553876780154154,6.4829244031830235,3.634914308489438,4.666666666666666,6.689681372953865
2020-09-09,3.7670358838242053,5.500663129973474,3.826225587883619,0.0,6.875505855535917
2020-09-10,3.013628707059364,3.3396883289124664,3.634914308489438,0.0,10.034522059430797
2020-09-11,3.7670358838242053,2.3574270557029173,3.2522917497010764,0.0,8.733750681356435
2020-09-12,6.780664590883569,2.1609748010610077,3.0609804703068955,0.0,7.432979303282073
2020-09-13,6.403961002501148,2.5538793103448274,2.8696691909127146,0.0,8.547926198774384
2020-09-14,7.3457199734572,2.5538793103448274,2.8696691909127146,0.0,9.662873094266693
2020-09-15,7.3457199734572,3.3396883289124664,3.634914308489438,4.0,8.362101716192331
2020-09-16,7.910775356030831,2.3574270557029173,4.208848146671981,0.0,7.247154820700021
2020-09-17,7.72242356183962,2.1609748010610077,4.0175368672778005,0.0,6.689681372953865
2020-09-18,6.592312796692359,2.946783819628647,2.8696691909127146,0.0,7.804628268446176
2020-09-19,6.403961002501148,2.1609748010610077,4.0175368672778005,0.0,10.034522059430797
2020-09-20,8.664182532795673,2.1609748010610077,3.634914308489438,0.0,6.5038568903718135
2020-09-21,6.403961002501148,2.3574270557029173,2.8696691909127146,0.0,6.318032407789762
2020-09-22,8.852534326986882,2.1609748010610077,2.1044240733359905,0.0,7.247154820700021
2020-09-23,8.09912715022204,1.964522546419098,2.4870466321243527,0.0,7.061330338117969
2020-09-24,7.15736817926599,1.7680702917771882,3.2522917497010764,0.0,8.547926198774384
2020-09-25,6.96901638507478,1.5716180371352784,2.4870466321243527,0.0,8.362101716192331
2020-09-26,7.534071767648411,2.5538793103448274,1.3391789557592668,0.0,6.5038568903718135
2020-09-27,6.027257414118728,1.5716180371352784,2.1044240733359905,0.0,5.946383442625658
2020-09-28,8.09912715022204,2.1609748010610077,2.4870466321243527,0.0,8.17627723361028
2020-09-29,7.15736817926599,1.3751657824933685,2.8696691909127146,0.0,6.689681372953865
2020-09-30,9.229237915369303,2.3574270557029173,1.147867676365086,0.0,6.875505855535917
2020-10-01,9.417589709560513,1.964522546419098,2.6783579115185336,0.0,4.08813861680514
2020-10-02,7.910775356030831,1.3751657824933685,2.6783579115185336,4.666666666666666,6.875505855535917
2020-10-03,8.287478944413252,2.3574270557029173,1.7218015145476286,4.666666666666666,5.017261029715399
2020-10-04,7.15736817926599,2.5538793103448274,1.9131127939418096,6.0,3.3448406864769327
2020-10-05,8.475830738604461,2.750331564986737,2.295735352730172,0.0,6.875505855535917
2020-10-06,8.09912715022204,2.946783819628647,2.8696691909127146,4.666666666666666,6.13220792520771
2020-10-07,10.547700474707774,2.3574270557029173,1.7218015145476286,0.0,5.760558960043606
2020-10-08,9.794293297942934,2.946783819628647,3.4436030290952573,0.0,5.946383442625658
2020-10-09,9.417589709560513,3.1432360742705567,3.2522917497010764,0.0,5.017261029715399
2020-10-10,10.547700474707774,3.1432360742705567,3.0609804703068955,0.0,4.831436547133347
2020-10-11,9.040886121178092,2.750331564986737,2.6783579115185336,0.0,4.459787581969243
2020-10-12,12.431218416619878,3.1432360742705567,3.2522917497010764,0.0,5.20308551229745
2020-10-13,11.112755857281405,1.964522546419098,3.2522917497010764,4.666666666666666,4.459787581969243
2020-10-14,8.852534326986882,2.3574270557029173,3.634914308489438,0.0,5.017261029715399
2020-10-15,9.040886121178092,1.964522546419098,4.9740932642487055,0.0,4.831436547133347
2020-10-16,8.664182532795673,2.1609748010610077,3.4436030290952573,0.0,5.760558960043606
2020-10-17,8.287478944413252,2.5538793103448274,3.826225587883619,0.0,5.017261029715399
2020-10-18,6.027257414118728,2.1609748010610077,2.6783579115185336,0.0,3.7164896516410364
2020-10-19,8.664182532795673,2.1609748010610077,2.8696691909127146,4.666666666666666,3.902314134223088
2020-10-20,7.534071767648411,1.7680702917771882,2.4870466321243527,0.0,4.08813861680514
2020-10-21,7.3457199734572,1.3751657824933685,2.8696691909127146,0.0,3.3448406864769327
2020-10-22,7.72242356183962,1.7680702917771882,4.208848146671981,0.0,4.08813861680514
2020-10-23,7.15736817926599,2.946783819628647,2.4870466321243527,0.0,2.4157182735666733
2020-10-24,8.09912715022204,1.1787135278514587,2.8696691909127146,0.0,3.7164896516410364
2020-10-25,5.273850237353887,1.5716180371352784,1.5304902351534477,0.0,2.787367238730777
2020-10-26,6.96901638507478,2.5538793103448274,5.548027102431248,0.0,3.159016203894881
2020-10-27,7.72242356183962,1.7680702917771882,3.826225587883619,0.0,3.7164896516410364
2020-10-28,8.287478944413252,1.7680702917771882,4.208848146671981,0.0,4.273963099387192
2020-10-29,7.72242356183962,2.1609748010610077,2.8696691909127146,0.0,4.645612064551295
2020-10-30,8.475830738604461,1.7680702917771882,3.634914308489438,6.0,5.017261029715399
2020-10-31,8.664182532795673,1.964522546419098,3.0609804703068955,0.0,4.459787581969243
2020-11-01,8.664182532795673,2.3574270557029173,3.0609804703068955,0.0,3.902314134223088
2020-11-02,8.664182532795673,1.7680702917771882,3.2522917497010764,0.0,4.273963099387192
2020-11-03,9.982645092134144,0.0,1.9131127939418096,0.0,4.273963099387192
2020-11-04,6.403961002501148,1.5716180371352784,4.0175368672778005,0.0,5.017261029715399
2020-11-05,7.910775356030831,1.964522546419098,4.0175368672778005,0.0,5.574734477461554
2020-11-06,9.605941503751723,0.0,4.0175368672778005,0.0,6.5038568903718135
2020-11-07,9.794293297942934,2.1609748010610077,2.295735352730172,0.0,5.760558960043606
2020-11-08,10.924404063090195,3.1432360742705567,2.8696691909127146,0.0,5.20308551229745
2020-11-09,9.794293297942934,2.5538793103448274,3.2522917497010764,0.0,5.760558960043606
2020-11-10,8.852534326986882,4.321949602122015,3.0609804703068955,5.333333333333333,6.5038568903718135
2020-11-11,11.112755857281405,3.929045092838196,2.8696691909127146,0.0,5.574734477461554
2020-11-12,9.229237915369303,1.3751657824933685,2.6783579115185336,4.666666666666666,5.20308551229745
2020-11-13,7.534071767648411,1.3751657824933685,1.9131127939418096,6.666666666666666,3.7164896516410364
2020-11-14,7.15736817926599,0.0,2.1044240733359905,0.0,2.04406930840257
2020-11-15,15.25649532948803,1.7680702917771882,2.4870466321243527,4.666666666666666,4.459787581969243
2020-11-16,14.50308815272319,2.3574270557029173,4.400159426066162,4.666666666666666,4.08813861680514
2020-11-17,12.431218416619878,0.0,3.0609804703068955,0.0,4.273963099387192
2020-11-18,14.31473635853198,1.3751657824933685,2.4870466321243527,0.0,4.273963099387192
2020-11-19,14.31473635853198,1.964522546419098,3.826225587883619,8.0,5.574734477461554
2020-11-20,12.619570210811087,1.964522546419098,3.826225587883619,8.666666666666666,3.159016203894881
2020-11-21,13.184625593384718,1.5716180371352784,2.4870466321243527,6.666666666666666,3.902314134223088
2020-11-22,9.982645092134144,0.0,2.8696691909127146,6.666666666666666,3.5306651690589845
2020-11-23,10.170996886325353,1.964522546419098,3.826225587883619,0.0,2.973191721312829
2020-11-24,10.547700474707774,2.1609748010610077,3.0609804703068955,0.0,4.08813861680514
2020-11-25,10.359348680516565,1.7680702917771882,2.8696691909127146,0.0,5.20308551229745
2020-11-26,9.982645092134144,1.964522546419098,4.208848146671981,6.666666666666666,3.902314134223088
2020-11-27,9.417589709560513,1.5716180371352784,2.8696691909127146,6.0,5.20308551229745
2020-11-28,10.359348680516565,2.3574270557029173,2.295735352730172,0.0,5.20308551229745
2020-11-29,11.301107651472616,1.964522546419098,2.4870466321243527,7.333333333333333,3.5306651690589845
2020-11-30,11.489459445663826,1.5716180371352784,1.7218015145476286,0.0,6.13220792520771
2020-12-01,11.677811239855036,2.1609748010610077,2.8696691909127146,4.666666666666666,7.618803785864124
2020-12-02,8.664182532795673,1.7680702917771882,2.4870466321243527,0.0,4.831436547133347
2020-12-03,9.040886121178092,2.1609748010610077,1.9131127939418096,5.333333333333333,5.574734477461554
2020-12-04,9.417589709560513,2.750331564986737,3.634914308489438,0.0,4.645612064551295
